Wind [m/s],Pitch [deg],Rotor Speed [rpm]
3,3.920293066,5
3.54953237,3.913016973,5
4.067900771,3.709535473,5
4.553906848,3.347852063,5
5.006427063,2.905271743,5
5.424415288,2.410742282,5
5.806905228,1.897891096,5
6.153012649,1.38709008,5
6.461937428,0.891713024,5
6.732965398,0.425207394,5
6.965470002,0.000469162,5
7.158913742,0,5.086081797
7.312849418,0,5.195446076
7.426921164,0,5.27648885
7.500865272,0,5.329022767
7.534510799,0,5.35292638
7.541241633,0,5.357708331
7.58833327,0,5.391164791
7.675676842,0,5.453218417
7.803070431,0,5.543725753
7.970219531,0,5.662477568
8.176737731,0,5.809199332
8.422147605,0,5.983551858
8.70588182,0,6.185132081
9.027284445,0,6.413473991
9.385612468,0,6.668049714
9.780037514,0,6.948270725
10.20964776,0,7.253489215
10.65843263,0,7.499240933
10.67345004,0.511974392,7.499240933
11.17037214,3.723733263,7.499240933
11.6992653,5.396486368,7.499240933
12.25890683,6.766694447,7.499240933
12.84800295,7.989590009,7.499240933
13.46519181,9.124292675,7.499240933
14.10904661,10.20005088,7.499240933
14.77807889,11.23370987,7.499240933
15.470742,12.23548853,7.499240933
16.18543466,13.21207233,7.499240933
16.92050464,14.16785471,7.499240933
17.67425264,15.10569973,7.499240933
18.44493615,16.02744622,7.499240933
19.23077353,16.93422766,7.499240933
20.02994808,17.82668205,7.499240933
20.8406123,18.70508213,7.499240933
21.66089211,19.56943768,7.499240933
22.4888912,20.41950905,7.499240933
23.32269542,21.25504455,7.499240933
24.1603772,22.07544699,7.499240933
25,22.88018135,7.499240933